address,lat,lon
"nan, улица 20 лет Октября, рабочий посёлок Муромцево, Муромцевский район, Омская область, Россия",,
"31, улица Иванишко, Омск, Омск г.о., Омская область, Россия",,
"nan, 2-я Производственная улица, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Петра Осминина, Омск, Омск г.о., Омская область, Россия",,
"12, Иртышская набережная, Омск, Омск г.о., Омская область, Россия",,
"nan, улица 22 Апреля, Омск, Омск г.о., Омская область, Россия",,
"15А, улица Романенко, Омск, Омск г.о., Омская область, Россия",,
"3, улица Дианова, Омск, Омск г.о., Омская область, Россия",,
"nan, Моторная улица, Омск, Омск г.о., Омская область, Россия",,
"102А, проспект Мира, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Лермонтова, рабочий посёлок Большеречье, Большереченский район, Омская область, Россия",,
"nan, nan, рабочий посёлок Кормиловка, Кормиловский район, Омская область, Россия",,
"20, проспект Комарова, Омск, Омск г.о., Омская область, Россия",,
"4, улица Комсомольский Городок, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, село Осокино, Калачинский район, Омская область, Россия",,
"nan, 2-я Москаленская улица, Омск, Омск г.о., Омская область, Россия",,
"nan, 4-я Транспортная улица, Омск, Омск г.о., Омская область, Россия",,
"174к2, улица 10 лет Октября, Омск, Омск г.о., Омская область, Россия",,
"73, 5-я Кордная улица, Омск, Омск г.о., Омская область, Россия",,
"6, улица Петра Осминина, Омск, Омск г.о., Омская область, Россия",,
"47, Камерный переулок, Омск, Омск г.о., Омская область, Россия",,
"9, улица 75-й Гвардейской Бригады, Омск, Омск г.о., Омская область, Россия",,
"nan, 1-я Островская улица, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, село Усть-Ишим, Усть-Ишимский район, Омская область, Россия",,
"nan, улица Лазо, рабочий посёлок Муромцево, Муромцевский район, Омская область, Россия",,
"18, улица Степана Иванова, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, дачный посёлок Чернолучинский, Омский район, Омская область, Россия",,
"42к1, 19-я Марьяновская улица, Омск, Омск г.о., Омская область, Россия",,
"nan, улица 3-й Разъезд, Омск, Омск г.о., Омская область, Россия",,
"2А, улица 50 лет ВЛКСМ, Омск, Омск г.о., Омская область, Россия",,
"24, улица 22 Апреля, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Остановочный Пункт 2717-й километр, Омск, Омск г.о., Омская область, Россия",,
